"motor:","AeroTech I366R"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000041}/"

"Time (s)","Thrust (N)"
0.027,323.256
0.088,485.393
0.148,483.744
0.208,479.926
0.268,473.365
0.327,466.192
0.388,457.444
0.448,448.751
0.509,441.477
0.57,430.236
0.63,421.524
0.69,411.757
0.75,398.876
0.81,387.496
0.87,375.43
0.93,361.325
0.991,345.057
1.053,330.392
1.112,312.636
1.173,293.508
1.233,275.085
1.292,262.408
1.353,230.881
1.413,118.008
1.474,23.611
1.535,0
