AR = 0.5,,AR = 0.75,,AR = 1,
X,Y,X,Y,X,Y
0,0,0,0,0,0
1.987951807,0.026008986,2.951807229,0.062121754,2.048192771,0.055700028
2.951807229,0.048920434,3.915662651,0.085033202,2.951807229,0.085224065
3.975903614,0.065219293,4.939759036,0.117833711,3.975903614,0.127925564
4.939759036,0.088130741,5.903614458,0.147345819,4.939759036,0.160738002
5.903614458,0.114342519,6.927710843,0.183446658,5.963855422,0.203439501
6.927710843,0.133941707,7.951807229,0.222847827,6.927710843,0.236251938
7.951807229,0.163441886,8.915662651,0.255660265,8.012048193,0.278941509
8.975903614,0.196242395,9.939759036,0.291761104,8.975903614,0.324955267
10,0.229042904,10.90361446,0.327873872,10,0.370957096
10.90361446,0.255266611,11.86746988,0.36728697,10.96385542,0.413670524
11.92771084,0.28806712,12.89156627,0.406688139,11.92771084,0.456383952
12.89156627,0.324179888,13.85542169,0.442800907,12.95180723,0.502385781
13.85542169,0.353691996,14.87951807,0.482202076,13.97590361,0.55168794
14.87951807,0.386492505,15.84337349,0.524915504,14.93975904,0.597701698
15.90361446,0.425893674,16.92771084,0.570905404,15.96385542,0.660205177
16.86746988,0.462006442,17.89156627,0.630120482,16.98795181,0.719408326
17.89156627,0.498107281,18.97590361,0.676110382,17.95180723,0.768722414
18.97590361,0.537496521,19.93975904,0.71882381,18.91566265,0.811435842
19.93975904,0.583510279,21.02409639,0.76481371,20,0.864026403
21.02409639,0.632800509,22.04819277,0.820716529,21.02409639,0.903427572
21.98795181,0.675513937,23.01204819,0.856829297,22.04819277,0.952729731
22.95180723,0.718227365,24.03614458,0.902831126,23.07228916,0.98883057
23.97590361,0.764229194,25.06024096,0.942232296,24.09638554,1.024931409
24.93975904,0.797041632,26.02409639,0.988246054,25.06024096,1.064344507
26.02409639,0.839731202,27.04819277,1.027647223,26.08433735,1.097145016
27.04819277,0.882432701,28.01204819,1.06375999,27.10843373,1.123344865
28.01204819,0.921845799,29.03614458,1.093260169,28.07228916,1.152856972
28.97590361,0.957958567,30.06024096,1.129361008,29.03614458,1.17906875
30.06024096,0.994047477,31.02409639,1.162173446,30.06024096,1.198667939
31.02409639,1.030160245,32.04819277,1.185072965,31.08433735,1.224867788
32.04819277,1.062960754,33.07228916,1.214573144,32.1686747,1.234554058
33.07228916,1.089160603,34.09638554,1.240772993,33.07228916,1.250876774
34.03614458,1.115372381,35.06024096,1.257083781,34.09638554,1.263875303
35.06024096,1.14817289,36.14457831,1.270070381,35.06024096,1.260384111
36.08433735,1.171072408,37.10843373,1.279780508,36.08433735,1.207376039
37.10843373,1.187371267,38.13253012,1.276277387,37.04819277,1.045469005
38.13253012,1.203670126,39.09638554,1.262885204,38.07228916,0.982559943
39.09638554,1.210079924,40.18072289,1.246168834,39.03614458,0.96916776
40.18072289,1.199964213,41.08433735,1.20308561,40.06024096,0.955763649
41.14457831,1.206374011,42.10843373,1.196282158,41.08433735,0.939059207
42.10843373,1.222684799,43.07228916,1.159787666,42.10843373,0.922354766
43.19277108,1.295077339,44.09638554,1.133182234,43.07228916,0.902361923
44.21686747,1.321277188,45.12048193,1.116477792,44.03614458,0.88896974
45.18072289,1.321086326,,,45.06024096,0.849162989
46.14457831,1.291192493,,,46.08433735,0.822557557
47.1686747,1.215082111,,,47.10843373,0.792651795
48.13253012,1.115881347,,,48.13253012,0.766046364
49.21686747,1.056260686,,,49.09638554,0.746053521
